"Wage","Associate's","Bachelor's","Doctorate","High School","Master's","None","GDP per capita","Unemployment"
160000,0,0,0,0,1,0,32793.3645,2.8
180000,0,0,0,0,1,0,12578.359,5.35
78000,0,0,0,0,1,0,12578.359,5.35
129600,0,0,1,0,0,0,12578.359,5.35
119300,0,0,0,0,1,0,12578.359,5.35
104957,0,1,0,0,0,0,53593.371,3.65
108150,0,0,0,0,1,0,12578.359,5.35
112694,0,1,0,0,0,0,12450.6815,3.05
106507.89,0,0,0,0,1,0,12578.359,5.35
70567,0,0,0,0,1,0,12578.359,5.35
72215.39,0,0,1,0,0,0,4358.605,9
90000,0,0,1,0,0,0,12578.359,5.35
63860,0,0,0,0,1,0,10127.2495,8.65
57700,0,1,0,0,0,0,3540.4745,35.6
53250,0,1,0,0,0,0,11735.4825,9.95
125000,0,0,0,0,1,0,12578.359,5.35
149531,0,0,0,0,0,1,54580.308,5.35
153296,0,0,0,0,1,0,12578.359,5.35
69867,0,1,0,0,0,0,12578.359,5.35
3e+05,0,1,0,0,0,0,47414.5395,3.95
120276,0,1,0,0,0,0,50741.637,3.05
168550,0,1,0,0,0,0,10127.2495,8.65
59011,0,1,0,0,0,0,12578.359,5.35
81432,0,1,0,0,0,0,50741.637,3.05
90522,0,0,0,0,1,0,12578.359,5.35
88317,0,0,0,0,1,0,32526.65,3.7
170000,0,0,0,0,0,0,47414.5395,3.95
58053,0,0,0,0,1,0,6831.44,10.65
85000,0,1,0,0,0,0,12518.036,3.7
161346,0,0,1,0,0,0,12578.359,5.35
109200,0,0,0,0,1,0,50741.637,3.05
138500,0,0,0,0,1,0,12578.359,5.35
92560,0,0,0,0,1,0,32793.3645,2.8
107182,0,1,0,0,0,0,12578.359,5.35
131328.6,0,1,0,0,0,0,12578.359,5.35
113399,0,1,0,0,0,0,3341.996,5.3
96242,0,0,0,0,1,0,12578.359,5.35
120578,0,0,0,0,1,0,12578.359,5.35
182256,0,0,0,0,1,0,12578.359,5.35
2e+05,0,0,0,0,1,0,12578.359,5.35
125362,0,1,0,0,0,0,20265.3365,3.85
170000,0,0,0,0,1,0,12578.359,5.35
170000,0,0,0,0,1,0,12578.359,5.35
170000,0,0,0,0,1,0,12578.359,5.35
170000,0,0,0,0,1,0,12578.359,5.35
105851,0,0,0,0,1,0,14567.755,3.55
101109,0,0,0,0,1,0,12578.359,5.35
170000,0,0,0,0,1,0,4157.4145,7.25
81600,0,0,0,0,1,0,1945.012,22.6
67766,0,1,0,0,0,0,6831.44,10.65
135000,0,0,0,0,1,0,1945.012,22.6
76440,0,1,0,0,0,0,12578.359,5.35
152880.52,0,0,0,0,1,0,12578.359,5.35
128125.4,0,0,0,0,1,0,11735.4825,9.95
77600,0,0,0,0,1,0,12578.359,5.35
85000,0,0,0,0,1,0,12578.359,5.35
125965,0,0,0,0,1,0,30379.8645,3.85
81983,0,1,0,0,0,0,32793.3645,2.8
130000,0,0,0,0,1,0,12578.359,5.35
90210,0,1,0,0,0,0,32793.3645,2.8
